Time,Surge,Sway,Yaw
229.5,49.53870773,30.89919853,-839.9962769
229.6,49.55854416,30.12279701,-850.4078979
229.7,49.9223671,30.67338943,-866.9605713
229.8,50.4768219,32.14118576,-887.0401001
229.9,51.21250534,34.52771759,-911.0501709
230,52.25077057,38.19484711,-941.7546997
230.1,53.77257156,43.6466217,-982.6046753
230.2,55.929039,51.2674675,-1035.952026
230.3,58.77750397,61.14736557,-1101.992554
230.4,62.26803207,73.06272125,-1178.803833
230.5,66.27622223,86.59036255,-1263.227905
230.6,70.65481567,101.2649307,-1351.965454
230.7,75.2722702,116.6834106,-1442.262939
230.8,80.02103424,132.5131378,-1531.957275
230.9,84.80204773,148.4347534,-1619.113159
231,89.50862122,164.1001434,-1701.751221
231.1,94.03285217,179.1748047,-1778.060181
231.2,98.30010223,193.4701385,-1847.088257
231.3,102.3134918,207.0927277,-1909.474121
231.4,106.176239,220.4970093,-1967.605591
231.5,110.0649643,234.3566284,-2024.819824
231.6,114.1515884,249.2604523,-2083.778809
231.7,118.5018921,265.3459473,-2144.698486
231.8,122.9985886,282.0445862,-2204.332275
231.9,127.3325577,298.090271,-2256.372803
232,131.0782013,311.8341064,-2293.299072
232.1,133.8291931,321.7668457,-2308.996094
232.2,135.3402557,327.0421753,-2301.043701
232.3,135.6135559,327.7766418,-2271.658447
232.4,134.8912506,324.9914246,-2226.858398
232.5,133.5561523,320.2135925,-2174.197021
232.6,131.9837036,314.9030151,-2120.056152
232.7,130.4081421,309.9445496,-2067.629883
232.8,128.858078,305.4085388,-2016.394897
232.9,127.1824112,300.6589966,-1963.148071
233,125.14785,294.7341003,-1904.013794
233.1,122.5589142,286.8143311,-1836.459229
233.2,119.3468781,276.5726929,-1760.458008
233.3,115.5935593,264.2755432,-1678.423462
233.4,111.4892197,250.6277618,-1594.135376
233.5,107.2536469,236.469574,-1511.299194
233.6,103.0621414,222.484726,-1432.452271
233.7,99.00967407,209.0499268,-1358.650024
233.8,95.12287903,196.2689667,-1289.921021
233.9,91.40435028,184.1383667,-1226.10144
234,87.87940979,172.7319183,-1167.523926
234.1,84.6175766,162.2959747,-1115.183472
234.2,81.71749115,153.2054901,-1070.325439
234.3,79.26481628,145.8096466,-1033.724365
234.4,77.28713989,140.2550354,-1005.078308
234.5,75.73143005,136.3852386,-982.8727417
234.6,74.47800446,133.776535,-964.8247681
234.7,73.38684845,131.9022675,-948.7229614
234.8,72.35607147,130.3550568,-933.2840576
234.9,71.36605072,129.0270081,-918.6309814
235,70.48841858,128.1635742,-906.1602173
235.1,69.85394287,128.2597809,-897.8293457
235.2,69.59085846,129.8337708,-895.1437378
235.3,69.7579422,133.1652985,-898.2503662
235.4,70.29955292,138.1043243,-905.5153809
235.5,71.04223633,144.0319519,-913.7788086
235.6,71.73681641,149.9992676,-919.2215576
235.7,72.13238525,155.002594,-918.5432739
235.8,72.05567932,158.2983246,-910.017334
235.9,71.46582794,159.6401367,-894.0222778
236,70.46252441,159.3441162,-872.8290405
236.1,69.2425766,158.1482239,-849.7015991
236.2,68.01972198,156.9108276,-827.633728
236.3,66.93788147,156.258667,-808.201416
236.4,66.01220703,156.3220062,-790.9832764
236.5,65.12269592,156.6670685,-773.793396
236.6,64.06480408,156.4626617,-753.6511841
236.7,62.6382637,154.8230286,-728.1109619
236.8,60.73829269,151.193634,-696.4118042
236.9,58.41120911,145.621521,-659.9685059
237,55.84993362,138.7936554,-621.9838257
237.1,53.3294487,131.8183899,-586.3260498
237.2,51.1076355,125.8321381,-556.1226807
237.3,49.33176422,121.588028,-532.6419067
237.4,47.98892212,119.192955,-514.913208
237.5,46.9200058,118.0989151,-500.2245178
237.6,45.89017105,117.3481064,-485.2676697
237.7,44.68515778,115.9666061,-467.4429932
237.8,43.1933403,113.342453,-445.7896423
237.9,41.44100571,109.4368591,-421.1932678
238,39.56982422,104.7533646,-395.8453064
238.1,37.7702713,100.0944595,-372.2394104
238.2,36.20202637,96.221138,-352.1585388
238.3,34.93502426,93.5617218,-336.0634766
238.4,33.93284988,92.08257294,-323.0810242
238.5,33.07993317,91.35437012,-311.5155945
238.6,32.23553848,90.76221466,-299.598999
238.7,31.28860474,89.75426483,-286.136322
238.8,30.19100952,88.02225494,-270.8050537
238.9,28.95977402,85.55263519,-254.0561218
239,27.6537838,82.55301666,-236.7452545
239.1,26.34065819,79.31256866,-219.7145233
239.2,25.07056808,76.0727005,-203.5162811
239.3,23.86690712,72.96412659,-188.3602905
239.4,22.73332977,70.02188873,-174.2388458
239.5,21.66854858,67.24811554,-161.1082611
239.6,20.67802429,64.67229462,-149.0066681
239.7,19.77554321,62.36941147,-138.0527496
239.8,18.97475433,60.42643738,-128.350769
239.9,18.2768898,58.88059235,-119.8795853
240,17.66276741,57.66890335,-112.4417953
240.1,17.09449196,56.62196732,-105.7062683
